                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.5022,                  0.285,                   0.69,                 2.6128,             0.00023403,             0.00023403,             0.00023403
                      2,                 1.7046,                   0.77,                   0.98,                 2.2366,             0.00045334,             0.00045334,             0.00045334
                      3,                0.71456,                   0.94,                  0.985,                 1.9521,              0.0006538,              0.0006538,              0.0006538
                      4,                0.32962,                   0.95,                   0.99,                 1.8986,             0.00062918,             0.00062918,             0.00062918
                      5,                0.20638,                   0.98,                  0.995,                 1.8536,             0.00062918,             0.00062918,             0.00062918
                      6,                 0.1796,                  0.975,                   0.99,                 1.8487,              0.0006009,              0.0006009,              0.0006009
                      7,                0.15432,                   0.98,                  0.995,                 1.8443,             0.00057263,             0.00057263,             0.00057263
                      8,                0.13511,                   0.99,                  0.995,                 1.8467,             0.00054435,             0.00054435,             0.00054435
                      9,                0.11098,                  0.975,                      1,                 1.8479,             0.00051608,             0.00051608,             0.00051608
                     10,                0.11527,                   0.98,                   0.99,                 1.8446,              0.0004878,              0.0004878,              0.0004878
                     11,                0.07909,                   0.98,                  0.995,                  1.846,             0.00045953,             0.00045953,             0.00045953
                     12,                0.10363,                  0.965,                  0.985,                 1.8506,             0.00043126,             0.00043126,             0.00043126
                     13,                0.10456,                   0.97,                   0.99,                 1.8619,             0.00040298,             0.00040298,             0.00040298
                     14,                0.09126,                  0.985,                  0.995,                 1.8401,             0.00037471,             0.00037471,             0.00037471
                     15,                0.06665,                  0.985,                  0.995,                 1.8368,             0.00034643,             0.00034643,             0.00034643
                     16,                0.06261,                   0.99,                   0.99,                 1.8343,             0.00031816,             0.00031816,             0.00031816
                     17,                0.06254,                  0.985,                  0.995,                 1.8336,             0.00028988,             0.00028988,             0.00028988
                     18,                0.07399,                   0.98,                   0.99,                 1.8357,             0.00026161,             0.00026161,             0.00026161
                     19,                0.04417,                  0.985,                   0.99,                 1.8368,             0.00023334,             0.00023334,             0.00023334
                     20,                0.07367,                   0.98,                  0.995,                 1.8535,             0.00020506,             0.00020506,             0.00020506
                     21,                0.06052,                  0.975,                   0.99,                 1.8406,             0.00017679,             0.00017679,             0.00017679
                     22,                0.04236,                   0.98,                  0.995,                 1.8407,             0.00014851,             0.00014851,             0.00014851
                     23,                 0.0598,                  0.985,                   0.99,                 1.8388,             0.00012024,             0.00012024,             0.00012024
                     24,                0.05458,                   0.98,                  0.995,                 1.8405,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     25,                0.04408,                  0.985,                   0.99,                  1.844,             6.3689e-05,             6.3689e-05,             6.3689e-05
